question_id,question,num_tables,tables,attributes
44,"What stadium is listed for the current club of the player who appeared in game {appearance.game_id}?",2,"appearance; clubs","appearance.game_id; appearance.player_current_club_id; clubs.club_id; clubs.stadium_name"
45,"What domestic competition is listed for the current club of the player who appeared in game {appearance.game_id}?",2,"appearance; clubs","appearance.game_id; appearance.player_current_club_id; clubs.club_id; clubs.domestic_competition_id"
46,"What stadium is listed for the home club in game {games.game_id}?",2,"games; clubs","games.game_id; games.home_club_id; clubs.club_id; clubs.stadium_name"
47,"What stadium is listed for the away club in game {games.game_id}?",2,"games; clubs","games.game_id; games.away_club_id; clubs.club_id; clubs.stadium_name"
48,"What country is listed for the home club in game {games.game_id}?",2,"games; clubs","games.game_id; games.home_club_id; clubs.club_id; clubs.country_name"
49,"What country is listed for the away club in game {games.game_id}?",2,"games; clubs","games.game_id; games.away_club_id; clubs.club_id; clubs.country_name"
50,"What domestic competition is listed for the home club in game {games.game_id}?",2,"games; clubs","games.game_id; games.home_club_id; clubs.club_id; clubs.domestic_competition_id"
51,"What domestic competition is listed for the away club in game {games.game_id}?",2,"games; clubs","games.game_id; games.away_club_id; clubs.club_id; clubs.domestic_competition_id"
52,"Do the home club and away club in game {games.game_id} have the same listed country?",2,"games; clubs","games.game_id; games.home_club_id; games.away_club_id; clubs.club_id; clubs.country_name"
53,"Do the home club and away club in game {games.game_id} have the same listed domestic competition?",2,"games; clubs","games.game_id; games.home_club_id; games.away_club_id; clubs.club_id; clubs.domestic_competition_id"
54,"What continent is the home club's country in for game {games.game_id}?",3,"games; clubs; countries","games.game_id; games.home_club_id; clubs.club_id; clubs.country_name; countries.country_name; countries.continent"
55,"What capital city is listed for the home club's country in game {games.game_id}?",3,"games; clubs; countries","games.game_id; games.home_club_id; clubs.club_id; clubs.country_name; countries.country_name; countries.capital_city"
56,"What confederation is listed for the home club's country in game {games.game_id}?",3,"games; clubs; countries","games.game_id; games.home_club_id; clubs.club_id; clubs.country_name; countries.country_name; countries.confederation"
57,"What continent is the away club's country in for game {games.game_id}?",3,"games; clubs; countries","games.game_id; games.away_club_id; clubs.club_id; clubs.country_name; countries.country_name; countries.continent"
58,"What capital city is listed for the away club's country in game {games.game_id}?",3,"games; clubs; countries","games.game_id; games.away_club_id; clubs.club_id; clubs.country_name; countries.country_name; countries.capital_city"
59,"What confederation is listed for the away club's country in game {games.game_id}?",3,"games; clubs; countries","games.game_id; games.away_club_id; clubs.club_id; clubs.country_name; countries.country_name; countries.confederation"
60,"Are the home club's country and away club's country in the same continent for game {games.game_id}?",3,"games; clubs; countries","games.game_id; games.home_club_id; games.away_club_id; clubs.club_id; clubs.country_name; countries.country_name; countries.continent"
61,"Do the home club's country and away club's country have the same listed confederation for game {games.game_id}?",3,"games; clubs; countries","games.game_id; games.home_club_id; games.away_club_id; clubs.club_id; clubs.country_name; countries.country_name; countries.confederation"
62,"What continent is the country of the competition of game {games.game_id} in?",3,"games; competitions; countries","games.game_id; games.competition_id; competitions.competition_id; competitions.country_id; countries.country_id; countries.continent"
63,"What capital city is listed for the country of the competition of game {games.game_id}?",3,"games; competitions; countries","games.game_id; games.competition_id; competitions.competition_id; competitions.country_id; countries.country_id; countries.capital_city"
64,"What confederation is listed for the country of the competition of game {games.game_id}?",3,"games; competitions; countries","games.game_id; games.competition_id; competitions.competition_id; competitions.country_id; countries.country_id; countries.confederation"
65,"Is the country of the competition of game {games.game_id} in Europe?",3,"games; competitions; countries","games.game_id; games.competition_id; competitions.competition_id; competitions.country_id; countries.country_id; countries.continent"
66,"Does the country of the competition of game {games.game_id} have {capital_city} as its listed capital?",3,"games; competitions; countries","games.game_id; games.competition_id; competitions.competition_id; competitions.country_id; countries.country_id; countries.capital_city"
67,"What country is listed for the club involved in event {game_events.game_event_id}?",2,"game_events; clubs","game_events.game_event_id; game_events.club_id; clubs.club_id; clubs.country_name"
68,"What stadium is listed for the club involved in event {game_events.game_event_id}?",2,"game_events; clubs","game_events.game_event_id; game_events.club_id; clubs.club_id; clubs.stadium_name"
69,"What domestic competition is listed for the club involved in event {game_events.game_event_id}?",2,"game_events; clubs","game_events.game_event_id; game_events.club_id; clubs.club_id; clubs.domestic_competition_id"
70,"What continent is the country of the club involved in event {game_events.game_event_id} in?",3,"game_events; clubs; countries","game_events.game_event_id; game_events.club_id; clubs.club_id; clubs.country_name; countries.country_name; countries.continent"
71,"What capital city is listed for the country of the club involved in event {game_events.game_event_id}?",3,"game_events; clubs; countries","game_events.game_event_id; game_events.club_id; clubs.club_id; clubs.country_name; countries.country_name; countries.capital_city"
72,"What confederation is listed for the country of the club involved in event {game_events.game_event_id}?",3,"game_events; clubs; countries","game_events.game_event_id; game_events.club_id; clubs.club_id; clubs.country_name; countries.country_name; countries.confederation"
73,"Which foot does the player involved in event {game_events.game_event_id} prefer?",2,"game_events; players","game_events.game_event_id; game_events.player_id; players.player_id; players.foot"
74,"What is the height of the player involved in event {game_events.game_event_id}?",2,"game_events; players","game_events.game_event_id; game_events.player_id; players.player_id; players.height_in_cm"
75,"What country was the player involved in event {game_events.game_event_id} born in?",2,"game_events; players","game_events.game_event_id; game_events.player_id; players.player_id; players.country_of_birth"
76,"What city was the player involved in event {game_events.game_event_id} born in?",2,"game_events; players","game_events.game_event_id; game_events.player_id; players.player_id; players.city_of_birth"
77,"What citizenship country is listed for the player involved in event {game_events.game_event_id}?",2,"game_events; players","game_events.game_event_id; game_events.player_id; players.player_id; players.country_of_citizenship"
78,"What is the date of birth of the player involved in event {game_events.game_event_id}?",2,"game_events; players","game_events.game_event_id; game_events.player_id; players.player_id; players.date_of_birth"
